formula,description
HfTe5,"HfTe5 crystallizes in the orthorhombic Pmmn space group. The structure is one-dimensional and consists of two HfTe5 ribbons oriented in the (1, 0, 0) direction. Hf(1) is bonded in a 8-coordinate geometry to two equivalent Te(2), two equivalent Te(3), and four equivalent Te(1) atoms. Both Hf(1)-Te(2) bond lengths are 2.99 Å. Both Hf(1)-Te(3) bond lengths are 2.99 Å. All Hf(1)-Te(1) bond lengths are 2.96 Å. There are three inequivalent Te sites. In the first Te site, Te(1) is bonded in an L-shaped geometry to two equivalent Hf(1) atoms. In the second Te site, Te(2) is bonded in an L-shaped geometry to two equivalent Hf(1) atoms. In the third Te site, Te(3) is bonded in a distorted single-bond geometry to one Hf(1) atom."
TlI3,"TlI3 crystallizes in the orthorhombic Pbam space group. The structure is two-dimensional and consists of one TlI3 sheet oriented in the (0, 0, 1) direction. Tl(1) is bonded in a square co-planar geometry to four equivalent I(1) atoms. All Tl(1)-I(1) bond lengths are 3.44 Å. There are two inequivalent I sites. In the first I site, I(1) is bonded in a distorted T-shaped geometry to two equivalent Tl(1) and one I(2) atom. The I(1)-I(2) bond length is 2.98 Å. In the second I site, I(2) is bonded in a linear geometry to two equivalent I(1) atoms."
HfNI,"HfNI crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one HfNI sheet oriented in the (0, 0, 1) direction. Hf(1) is bonded in a 4-coordinate geometry to four equivalent N(1) and three equivalent I(1) atoms. There is one shorter (2.14 Å) and three longer (2.17 Å) Hf(1)-N(1) bond lengths. All Hf(1)-I(1) bond lengths are 3.07 Å. N(1) is bonded to four equivalent Hf(1) atoms to form a mixture of corner and edge-sharing NHf4 tetrahedra. I(1) is bonded in a 3-coordinate geometry to three equivalent Hf(1) atoms."
Se,Se crystallizes in the orthorhombic Pmmm space group. The structure is zero-dimensional and consists of one diselenium molecule. Se(1) is bonded in a single-bond geometry to one Se(1) atom. The Se(1)-Se(1) bond length is 2.25 Å.
Ag3SnP7,"Ag3SnP7 crystallizes in the triclinic P1 space group. The structure is two-dimensional and consists of one Ag3SnP7 sheet oriented in the (0, 0, 1) direction. There are three inequivalent Ag sites. In the first Ag site, Ag(1) is bonded in a 3-coordinate geometry to one P(4), one P(5), and two equivalent P(1) atoms. The Ag(1)-P(4) bond length is 2.62 Å. The Ag(1)-P(5) bond length is 2.52 Å. There is one shorter (2.64 Å) and one longer (2.72 Å) Ag(1)-P(1) bond length. In the second Ag site, Ag(2) is bonded in a 1-coordinate geometry to one P(6) and one P(7) atom. The Ag(2)-P(6) bond length is 2.49 Å. The Ag(2)-P(7) bond length is 2.45 Å. In the third Ag site, Ag(3) is bonded in a 3-coordinate geometry to one P(1), one P(2), and one P(3) atom. The Ag(3)-P(1) bond length is 2.75 Å. The Ag(3)-P(2) bond length is 2.43 Å. The Ag(3)-P(3) bond length is 2.43 Å. Sn(1) is bonded in a 4-coordinate geometry to one P(1), one P(3), one P(5), and one P(7) atom. The Sn(1)-P(1) bond length is 2.79 Å. The Sn(1)-P(3) bond length is 2.61 Å. The Sn(1)-P(5) bond length is 2.61 Å. The Sn(1)-P(7) bond length is 2.78 Å. There are seven inequivalent P sites. In the first P site, P(1) is bonded in a distorted pentagonal planar geometry to one Ag(3), two equivalent Ag(1), one Sn(1), and one P(4) atom. The P(1)-P(4) bond length is 2.14 Å. In the second P site, P(2) is bonded in a 4-coordinate geometry to one Ag(3), one P(3), one P(6), and one P(7) atom. The P(2)-P(3) bond length is 2.28 Å. The P(2)-P(6) bond length is 2.27 Å. The P(2)-P(7) bond length is 2.24 Å. In the third P site, P(3) is bonded to one Ag(3), one Sn(1), one P(2), and one P(5) atom to form corner-sharing PAgSnP2 tetrahedra. The P(3)-P(5) bond length is 2.21 Å. In the fourth P site, P(4) is bonded in a 3-coordinate geometry to one Ag(1), one P(1), and one P(5) atom. The P(4)-P(5) bond length is 2.26 Å. In the fifth P site, P(5) is bonded to one Ag(1), one Sn(1), one P(3), and one P(4) atom to form distorted corner-sharing PAgSnP2 tetrahedra. In the sixth P site, P(6) is bonded in a distorted T-shaped geometry to one Ag(2), one P(2), and one P(7) atom. The P(6)-P(7) bond length is 2.23 Å. In the seventh P site, P(7) is bonded in a 4-coordinate geometry to one Ag(2), one Sn(1), one P(2), and one P(6) atom."
Sb2S3,"Sb2S3 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one Sb2S3 sheet oriented in the (0, 0, 1) direction. There are two inequivalent Sb sites. In the first Sb site, Sb(1) is bonded in a distorted single-bond geometry to two equivalent S(3) and three equivalent S(2) atoms. Both Sb(1)-S(3) bond lengths are 2.66 Å. There is one shorter (2.46 Å) and two longer (2.94 Å) Sb(1)-S(2) bond lengths. In the second Sb site, Sb(2) is bonded in a 6-coordinate geometry to one S(3), two equivalent S(2), and three equivalent S(1) atoms. The Sb(2)-S(3) bond length is 2.63 Å. Both Sb(2)-S(2) bond lengths are 3.13 Å. There are two shorter (2.57 Å) and one longer (3.04 Å) Sb(2)-S(1) bond length. There are three inequivalent S sites. In the first S site, S(1) is bonded in a 3-coordinate geometry to three equivalent Sb(2) atoms. In the second S site, S(2) is bonded in a distorted single-bond geometry to two equivalent Sb(2) and three equivalent Sb(1) atoms. In the third S site, S(3) is bonded in a distorted single-bond geometry to one Sb(2) and two equivalent Sb(1) atoms."
MnSe,"MnSe crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one MnSe sheet oriented in the (0, 0, 1) direction. Mn(1) is bonded to four equivalent Se(1) atoms to form a mixture of distorted corner and edge-sharing MnSe4 tetrahedra. All Mn(1)-Se(1) bond lengths are 2.38 Å. Se(1) is bonded in a 4-coordinate geometry to four equivalent Mn(1) atoms."
PtO2,"PtO2 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one PtO2 sheet oriented in the (0, 0, 1) direction. Pt(1) is bonded to six equivalent O(1) atoms to form edge-sharing PtO6 octahedra. All Pt(1)-O(1) bond lengths are 2.05 Å. O(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Pt(1) atoms."
BiTeI,"BiTeI is trigonal omega-derived structured and crystallizes in the trigonal P3m1 space group. The structure is two-dimensional and consists of one BiTeI sheet oriented in the (0, 0, 1) direction. Bi(1) is bonded to three equivalent Te(1) and three equivalent I(1) atoms to form edge-sharing BiTe3I3 octahedra. All Bi(1)-Te(1) bond lengths are 3.07 Å. All Bi(1)-I(1) bond lengths are 3.28 Å. Te(1) is bonded in a distorted T-shaped geometry to three equivalent Bi(1) atoms. I(1) is bonded in a distorted T-shaped geometry to three equivalent Bi(1) atoms."
TaIrTe4,"TaIrTe4 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one TaIrTe4 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded in a 8-coordinate geometry to two equivalent Ir(1), one Te(2), two equivalent Te(1), and three equivalent Te(3) atoms. Both Ta(1)-Ir(1) bond lengths are 3.10 Å. The Ta(1)-Te(2) bond length is 2.67 Å. Both Ta(1)-Te(1) bond lengths are 2.78 Å. There are two shorter (2.88 Å) and one longer (2.92 Å) Ta(1)-Te(3) bond length. Ir(1) is bonded to two equivalent Ta(1), one Te(1), two equivalent Te(2), and three equivalent Te(4) atoms to form a mixture of distorted face and edge-sharing IrTa2Te6 hexagonal bipyramids. The Ir(1)-Te(1) bond length is 2.72 Å. Both Ir(1)-Te(2) bond lengths are 2.74 Å. There are two shorter (2.68 Å) and one longer (2.72 Å) Ir(1)-Te(4) bond length. There are four inequivalent Te sites. In the first Te site, Te(1) is bonded in a 3-coordinate geometry to two equivalent Ta(1) and one Ir(1) atom. In the second Te site, Te(2) is bonded in a 3-coordinate geometry to one Ta(1) and two equivalent Ir(1) atoms. In the third Te site, Te(3) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Ta(1) atoms. In the fourth Te site, Te(4) is bonded in a distorted T-shaped geometry to three equivalent Ir(1) atoms."
HfCl4,"HfCl4 crystallizes in the monoclinic P2/c space group. The structure is one-dimensional and consists of one HfCl4 ribbon oriented in the (1, 0, 0) direction. Hf(1) is bonded to two equivalent Cl(1) and four equivalent Cl(2) atoms to form edge-sharing HfCl6 octahedra. Both Hf(1)-Cl(1) bond lengths are 2.31 Å. There are two shorter (2.48 Å) and two longer (2.65 Å) Hf(1)-Cl(2) bond lengths. There are two inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in a single-bond geometry to one Hf(1) atom. In the second Cl site, Cl(2) is bonded in a water-like geometry to two equivalent Hf(1) atoms."
SbSeI,"SbSeI crystallizes in the orthorhombic Pmn2_1 space group. The structure is one-dimensional and consists of two SbSeI ribbons oriented in the (1, 0, 0) direction. Sb(1) is bonded in a distorted T-shaped geometry to two equivalent Se(1) and one I(1) atom. Both Sb(1)-Se(1) bond lengths are 2.66 Å. The Sb(1)-I(1) bond length is 2.87 Å. Se(1) is bonded in an L-shaped geometry to two equivalent Sb(1) atoms. I(1) is bonded in a single-bond geometry to one Sb(1) atom."
MnBr2,"MnBr2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one MnBr2 sheet oriented in the (0, 0, 1) direction. Mn(1) is bonded to six equivalent Br(1) atoms to form edge-sharing MnBr6 octahedra. All Mn(1)-Br(1) bond lengths are 2.69 Å. Br(1) is bonded in a distorted T-shaped geometry to three equivalent Mn(1) atoms."
Bi2Te2Se,"Bi2Te2Se is trigonal omega-derived structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Bi2Te2Se sheet oriented in the (0, 0, 1) direction. Bi(1) is bonded to three equivalent Te(1) and three equivalent Se(1) atoms to form a mixture of corner and edge-sharing BiTe3Se3 octahedra. The corner-sharing octahedra are not tilted. All Bi(1)-Te(1) bond lengths are 3.07 Å. All Bi(1)-Se(1) bond lengths are 3.12 Å. Te(1) is bonded in a distorted T-shaped geometry to three equivalent Bi(1) atoms. Se(1) is bonded to six equivalent Bi(1) atoms to form edge-sharing SeBi6 octahedra."
CoS2,"CoS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CoS2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent S(1) atoms to form edge-sharing CoS6 octahedra. All Co(1)-S(1) bond lengths are 2.25 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms."
SmTe3,"SmTe3 crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one SmTe3 sheet oriented in the (0, 0, 1) direction. Sm(1) is bonded in a 9-coordinate geometry to four equivalent Te(1) and five equivalent Te(2) atoms. All Sm(1)-Te(1) bond lengths are 3.35 Å. There are four shorter (3.23 Å) and one longer (3.26 Å) Sm(1)-Te(2) bond length. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a distorted L-shaped geometry to two equivalent Sm(1) atoms. In the second Te site, Te(2) is bonded to five equivalent Sm(1) atoms to form a mixture of distorted corner and edge-sharing TeSm5 trigonal bipyramids."
NiSe,"NiSe is lead oxide-like structured and crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one NiSe sheet oriented in the (0, 0, 1) direction. Ni(1) is bonded to four equivalent Se(1) atoms to form a mixture of corner and edge-sharing NiSe4 tetrahedra. All Ni(1)-Se(1) bond lengths are 2.35 Å. Se(1) is bonded in a 4-coordinate geometry to four equivalent Ni(1) atoms."
YOCl,"YOCl crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one YOCl sheet oriented in the (0, 0, 1) direction. Y(1) is bonded in a 7-coordinate geometry to four equivalent O(1) and three equivalent Cl(1) atoms. There are three shorter (2.27 Å) and one longer (2.29 Å) Y(1)-O(1) bond length. All Y(1)-Cl(1) bond lengths are 2.80 Å. O(1) is bonded to four equivalent Y(1) atoms to form a mixture of corner and edge-sharing OY4 tetrahedra. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Y(1) atoms."
Ba2ZrS4,"Ba2ZrS4 crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one Ba2ZrS4 sheet oriented in the (0, 0, 1) direction. Ba(1) is bonded in a 4-coordinate geometry to four equivalent S(2) atoms. All Ba(1)-S(2) bond lengths are 3.32 Å. Zr(1) is bonded to two equivalent S(1) and four equivalent S(2) atoms to form corner-sharing ZrS6 octahedra. The corner-sharing octahedra are not tilted. Both Zr(1)-S(1) bond lengths are 2.61 Å. All Zr(1)-S(2) bond lengths are 2.46 Å. There are two inequivalent S sites. In the first S site, S(1) is bonded in a single-bond geometry to one Zr(1) atom. In the second S site, S(2) is bonded to four equivalent Ba(1) and two equivalent Zr(1) atoms to form a mixture of distorted corner, face, and edge-sharing SBa4Zr2 octahedra. The corner-sharing octahedra are not tilted."
SnSb2Te4,"SnSb2Te4 is MAX Phase-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one SnSb2Te4 sheet oriented in the (0, 0, 1) direction. Sn(1) is bonded to six equivalent Te(2) atoms to form SnTe6 octahedra that share corners with six equivalent Sb(1)Te6 octahedra, edges with six equivalent Sn(1)Te6 octahedra, and edges with six equivalent Sb(1)Te6 octahedra. The corner-sharing octahedral tilt angles are 1°. All Sn(1)-Te(2) bond lengths are 3.17 Å. Sb(1) is bonded to three equivalent Te(1) and three equivalent Te(2) atoms to form SbTe6 octahedra that share corners with three equivalent Sn(1)Te6 octahedra, edges with three equivalent Sn(1)Te6 octahedra, and edges with six equivalent Sb(1)Te6 octahedra. The corner-sharing octahedral tilt angles are 1°. All Sb(1)-Te(1) bond lengths are 3.03 Å. All Sb(1)-Te(2) bond lengths are 3.22 Å. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a distorted T-shaped geometry to three equivalent Sb(1) atoms. In the second Te site, Te(2) is bonded to three equivalent Sn(1) and three equivalent Sb(1) atoms to form a mixture of corner and edge-sharing TeSn3Sb3 octahedra. The corner-sharing octahedra are not tilted."
TiS2,"TiS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TiS2 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent S(1) atoms to form edge-sharing TiS6 octahedra. All Ti(1)-S(1) bond lengths are 2.43 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Ti(1) atoms."
MnCl2,"MnCl2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one MnCl2 sheet oriented in the (0, 0, 1) direction. Mn(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing MnCl6 octahedra. All Mn(1)-Cl(1) bond lengths are 2.54 Å. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Mn(1) atoms."
PtS2,"PtS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one PtS2 sheet oriented in the (0, 0, 1) direction. Pt(1) is bonded to six equivalent S(1) atoms to form edge-sharing PtS6 octahedra. All Pt(1)-S(1) bond lengths are 2.41 Å. S(1) is bonded in a distorted T-shaped geometry to three equivalent Pt(1) atoms."
BiSI,"BiSI crystallizes in the monoclinic P2_1/m space group. The structure is one-dimensional and consists of two BiSI ribbons oriented in the (0, 1, 0) direction. Bi(1) is bonded in a distorted single-bond geometry to one S(1) and two equivalent I(1) atoms. The Bi(1)-S(1) bond length is 2.57 Å. Both Bi(1)-I(1) bond lengths are 3.14 Å. S(1) is bonded in a single-bond geometry to one Bi(1) atom. I(1) is bonded in an L-shaped geometry to two equivalent Bi(1) atoms."
CdCl2,"CdCl2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CdCl2 sheet oriented in the (0, 0, 1) direction. Cd(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing CdCl6 octahedra. All Cd(1)-Cl(1) bond lengths are 2.66 Å. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Cd(1) atoms."
KrF2,KrF2 is Cyanogen Chloride-derived structured and crystallizes in the orthorhombic Pmmm space group. The structure is zero-dimensional and consists of one KrF2 cluster. Kr(1) is bonded in a linear geometry to two equivalent F(1) atoms. Both Kr(1)-F(1) bond lengths are 1.94 Å. F(1) is bonded in a single-bond geometry to one Kr(1) atom.
TmOCl,"TmOCl crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TmOCl sheet oriented in the (0, 0, 1) direction. Tm(1) is bonded in a 7-coordinate geometry to four equivalent O(1) and three equivalent Cl(1) atoms. There are three shorter (2.23 Å) and one longer (2.25 Å) Tm(1)-O(1) bond length. All Tm(1)-Cl(1) bond lengths are 2.76 Å. O(1) is bonded to four equivalent Tm(1) atoms to form a mixture of corner and edge-sharing OTm4 tetrahedra. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Tm(1) atoms."
NbCoTe2,"NbCoTe2 crystallizes in the monoclinic P2_1/c space group. The structure is two-dimensional and consists of one NbCoTe2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 9-coordinate geometry to four equivalent Co(1), two equivalent Te(2), and three equivalent Te(1) atoms. There are a spread of Nb(1)-Co(1) bond distances ranging from 2.60-2.94 Å. There is one shorter (2.83 Å) and one longer (2.89 Å) Nb(1)-Te(2) bond length. There are a spread of Nb(1)-Te(1) bond distances ranging from 2.83-3.01 Å. Co(1) is bonded in a 9-coordinate geometry to four equivalent Nb(1), one Co(1), two equivalent Te(1), and two equivalent Te(2) atoms. The Co(1)-Co(1) bond length is 2.45 Å. There is one shorter (2.62 Å) and one longer (2.66 Å) Co(1)-Te(1) bond length. There is one shorter (2.55 Å) and one longer (2.59 Å) Co(1)-Te(2) bond length. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a 5-coordinate geometry to three equivalent Nb(1) and two equivalent Co(1) atoms. In the second Te site, Te(2) is bonded in a 4-coordinate geometry to two equivalent Nb(1) and two equivalent Co(1) atoms."
CaPbI4,"CaPbI4 crystallizes in the monoclinic P2/m space group. The structure is two-dimensional and consists of one CaPbI4 sheet oriented in the (0, 0, 1) direction. Ca(1) is bonded to two equivalent I(2) and four equivalent I(1) atoms to form CaI6 octahedra that share edges with two equivalent Ca(1)I6 octahedra and edges with four equivalent Pb(1)I6 octahedra. Both Ca(1)-I(2) bond lengths are 3.14 Å. All Ca(1)-I(1) bond lengths are 3.14 Å. Pb(1) is bonded to two equivalent I(1) and four equivalent I(2) atoms to form PbI6 octahedra that share edges with two equivalent Pb(1)I6 octahedra and edges with four equivalent Ca(1)I6 octahedra. Both Pb(1)-I(1) bond lengths are 3.24 Å. All Pb(1)-I(2) bond lengths are 3.25 Å. There are two inequivalent I sites. In the first I site, I(1) is bonded in a 3-coordinate geometry to two equivalent Ca(1) and one Pb(1) atom. In the second I site, I(2) is bonded in a 3-coordinate geometry to one Ca(1) and two equivalent Pb(1) atoms."
HfS3,"HfS3 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one HfS3 sheet oriented in the (0, 0, 1) direction. Hf(1) is bonded in a 8-coordinate geometry to two equivalent S(1), two equivalent S(2), and four equivalent S(3) atoms. Both Hf(1)-S(1) bond lengths are 2.60 Å. Both Hf(1)-S(2) bond lengths are 2.60 Å. There are two shorter (2.59 Å) and two longer (2.72 Å) Hf(1)-S(3) bond lengths. There are three inequivalent S sites. In the first S site, S(1) is bonded in an L-shaped geometry to two equivalent Hf(1) atoms. In the second S site, S(2) is bonded in an L-shaped geometry to two equivalent Hf(1) atoms. In the third S site, S(3) is bonded to four equivalent Hf(1) atoms to form a mixture of distorted corner and edge-sharing SHf4 trigonal pyramids."
Nb3TeCl7,"Nb3TeCl7 crystallizes in the trigonal P3m1 space group. The structure is two-dimensional and consists of one Nb3TeCl7 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 6-coordinate geometry to one Te(1), one Cl(2), two equivalent Cl(1), and two equivalent Cl(3) atoms. The Nb(1)-Te(1) bond length is 2.73 Å. The Nb(1)-Cl(2) bond length is 2.70 Å. Both Nb(1)-Cl(1) bond lengths are 2.45 Å. Both Nb(1)-Cl(3) bond lengths are 2.54 Å. Te(1) is bonded in a 3-coordinate geometry to three equivalent Nb(1) atoms. There are three inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in a 2-coordinate geometry to two equivalent Nb(1) atoms. In the second Cl site, Cl(2) is bonded in a distorted T-shaped geometry to three equivalent Nb(1) atoms. In the third Cl site, Cl(3) is bonded in a water-like geometry to two equivalent Nb(1) atoms."
YCl3,"YCl3 is Aluminum trichloride-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one YCl3 sheet oriented in the (0, 0, 1) direction. Y(1) is bonded to six equivalent Cl(1,2) atoms to form edge-sharing YCl6 octahedra. All Y(1)-Cl(1,2) bond lengths are 2.65 Å. Cl(1,2) is bonded in an L-shaped geometry to two equivalent Y(1) atoms."
Mg2SiO4,"Mg2SiO4 crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one Mg2SiO4 sheet oriented in the (0, 0, 1) direction. Mg(1) is bonded in a single-bond geometry to one O(1) atom. The Mg(1)-O(1) bond length is 1.81 Å. Si(1) is bonded to two equivalent O(1) and four O(2,2) atoms to form corner-sharing SiO6 octahedra. The corner-sharing octahedra are not tilted. Both Si(1)-O(1) bond lengths are 1.72 Å. All Si(1)-O(2,2) bond lengths are 1.75 Å. There are three inequivalent O sites. In the first O site, O(1) is bonded in a linear geometry to one Mg(1) and one Si(1) atom. In the second O site, O(2) is bonded in a linear geometry to two equivalent Si(1) atoms. In the third O site, O(2) is bonded in a linear geometry to two equivalent Si(1) atoms."
